320571.26,4990777.19,23.40000062
320550.03,4990787.44,15.31999973
320569.04,4990743.6,9.720000078
320550.22,4990756.86,18.25000002
320559.38,4990739.61,17.31000046
320561.7,4990746.69,13.28999999
320556.92,4990754.15,12.0099998
320558.22,4990808.16,15.44999985
320556.85,4990740.74,21.1700001
320538.02,4990778.13,0.699999857
320560.35,4990767.75,24.64000037
320556.72,4990793.81,24.08999925
320552.94,4990779.81,21.6700001
320571.28,4990799.58,16.68999963
320572.63,4990752.74,25.41999915
320565.25,4990777.33,25.46000008
320573.6,4990767.94,7.290000012
320561.6,4990737.35,14.38000017
320551.94,4990808.49,10.53000001
320553.22,4990790.21,19.38000014
320574,4990788.99,9.179999995
320551.42,4990801.92,28.13000016
320553.41,4990755.58,15.97999957
320569.5,4990792.99,20.54000001
320564.1,4990803.7,10.04
320546.56,4990799.15,25.03999999
320552.44,4990760.82,20.9200001
320559.03,4990743.32,20.85000042
320551.85,4990785.06,12.65000014
320544.21,4990777.13,14.52999976
320561.91,4990799.02,12.28999999
320553.35,4990794.53,23.82000068
320566.72,4990790.42,22.69999985
320562.85,4990786.02,20.40999989
320560.64,4990806.11,14.07999995
320549.03,4990801,26.8200007
320544.83,4990794.99,23.13000016
320562.47,4990749.11,12.52999977
320575.03,4990785.86,10.86999993
320565.85,4990798.74,15.51000025
320571.6,4990757.54,24.9299994
320564.53,4990810,1.159999886
320539.5,4990796.87,10.59999994
320561.67,4990741.48,15.64000038
320556.22,4990791.35,22.67000013
